Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,16-Sep-2016,1067,1065,1093.85,1059.1,1072.9,1075.55,1080.3,8988926,9710711353.05,151282
RELIANCE,19-Sep-2016,1072.55,1075.55,1088,1071,1083,1082.4,1080.96,3812324,4120984369.25,81518
RELIANCE,20-Sep-2016,1084,1082.4,1084.75,1069.05,1073.55,1074.2,1076.13,2635854,2836524443.2,65326
RELIANCE,21-Sep-2016,1074,1074.2,1084.9,1069,1070,1072.25,1075.51,2501476,2690360397.95,66182
RELIANCE,22-Sep-2016,1083,1072.25,1095.8,1079,1086.95,1088.95,1090.17,4288544,4675251073.25,82688
RELIANCE,23-Sep-2016,1089,1088.95,1109.45,1089,1101.6,1102.8,1100.28,7105725,7818310313.15,81712
RELIANCE,26-Sep-2016,1103.4,1102.8,1129.55,1100.25,1106.3,1107.2,1118.64,8734943,9771217522.35,119368
RELIANCE,27-Sep-2016,1117,1107.2,1125.95,1106.6,1110.9,1110.5,1115.34,4428693,4939498790.35,99600
RELIANCE,28-Sep-2016,1107.9,1110.5,1108,1086.3,1089,1090.65,1092.6,5673488,6198865983.3,123527
RELIANCE,29-Sep-2016,1095,1090.65,1110.75,1067.4,1074.55,1072.45,1085.03,4859746,5272989985.65,96086
RELIANCE,30-Sep-2016,1068,1072.45,1094.55,1066.3,1084.5,1083.7,1082.8,2560105,2772082002.15,97669
RELIANCE,03-Oct-2016,1087,1083.7,1107.95,1076.25,1090,1090.7,1093.31,4143109,4529687732.75,108886
RELIANCE,04-Oct-2016,1093.05,1090.7,1108.3,1092,1095,1096.35,1100.57,2997544,3299004036.4,74385
RELIANCE,05-Oct-2016,1104,1096.35,1106.5,1085.8,1090,1089.4,1095.21,2466397,2701225312.05,51226
RELIANCE,06-Oct-2016,1092,1089.4,1126.25,1092,1112,1110.8,1114.15,4825630,5376475095.3,96062
RELIANCE,07-Oct-2016,1114,1110.8,1123.05,1106.5,1106.95,1109,1114.12,3492838,3891447818.3,74933
RELIANCE,10-Oct-2016,1114,1109,1122,1094,1096,1096.35,1105.74,2640973,2920222667.6,66148
RELIANCE,13-Oct-2016,1089,1096.35,1089.05,1052,1058.5,1057.15,1067.72,5014667,5354276741.25,126457
RELIANCE,14-Oct-2016,1063,1057.15,1082,1061.65,1078.95,1077.65,1073.32,3489473,3745322970.8,93233
RELIANCE,17-Oct-2016,1080,1077.65,1080.8,1058.75,1060.4,1060.65,1068.55,2246237,2400217761.5,59134
RELIANCE,18-Oct-2016,1066,1060.65,1082.75,1062.05,1079.55,1081.1,1076.71,2531133,2725292002.9,73109
RELIANCE,19-Oct-2016,1084.45,1081.1,1094.7,1081.4,1087,1087.35,1088.72,3902656,4248885069.5,77327
RELIANCE,20-Oct-2016,1093.95,1087.35,1098,1084.05,1086.1,1087.55,1089.93,2314521,2522655590.7,50757
RELIANCE,21-Oct-2016,1097,1087.55,1097,1058.4,1065,1064.2,1069.05,9968242,10656537354.95,172822
